,Compound Score,Date,Negative Score,Neutral Score,Postive Score,Text,Tweets Ago,Username
136,0.0,Fri Jun 08 22:15:04 +0000 2018,0.0,1.0,0.0,"""The Worm"" is going to Singapore; White House officials, however, have repeatedly said that former NBA star Dennis… https://t.co/UM8lMGC8wG",37,CBSNews
137,0.0,Fri Jun 08 22:00:00 +0000 2018,0.0,1.0,0.0,"Mitt Romney, formerly the face of the ""Never Trump"" movement in 2016, sees the president being re-nominated ""easily… https://t.co/ZFQfrlOX2u",38,CBSNews
138,0.0772,Fri Jun 08 21:19:41 +0000 2018,0.0,0.936,0.064,Democratic senators want to know if anyone on Wall Street was tipped off with information related to President Trum… https://t.co/80kOsMl9Se,39,CBSNews
139,0.0,Fri Jun 08 21:06:36 +0000 2018,0.0,1.0,0.0,"WATCH LIVE: Pres. Trump, Canadian PM Justin Trudeau meet at G7 summit in Charlevoix, Quebec https://t.co/k6VYtNcnL0 https://t.co/ji6kozHSPV",40,CBSNews
140,0.0,Fri Jun 08 21:00:01 +0000 2018,0.0,1.0,0.0,Revelations of a Chinese cyberattack on a U.S. Navy contractor comes days before President Trump attends a summit w… https://t.co/mfrUgWGXxt,41,CBSNews
141,0.4019,Fri Jun 08 20:39:41 +0000 2018,0.0,0.863,0.137,"""The future is now"": Policymakers and businesses are ill-prepared to help workers navigate the transition and adapt… https://t.co/uXFufQIhVH",42,CBSNews
142,0.4215,Fri Jun 08 20:19:40 +0000 2018,0.0,0.826,0.174,$1.5 billion in campaign support was not enough for several candidates backed by George Soros to oust the incumbent… https://t.co/EKf8NKGzO2,43,CBSNews
143,0.8442,Fri Jun 08 19:59:55 +0000 2018,0.0,0.701,0.299,"Honda slates its Super Cub, the best selling motor vehicle of all time, for a rerelease in the U.S. next year… https://t.co/6l1bgDfisP",44,CBSNews
144,0.0,Fri Jun 08 19:40:04 +0000 2018,0.0,1.0,0.0,"With one last look at the crowd, Marmalade the harbor seal dived back into the waves off the coast of Ocean City, M… https://t.co/4aAYTzVmSF",45,CBSNews
145,-0.6369,Fri Jun 08 19:24:50 +0000 2018,0.189,0.811,0.0,Kia is recalling over a half-million vehicles in the U.S. because the air bags may not work in a crash… https://t.co/5EASH4rhUA,46,CBSNews
146,0.0,Fri Jun 08 19:10:19 +0000 2018,0.0,1.0,0.0,"""We are accountable to the people who use what we make"": Facebook COO Sheryl Sandberg's MIT commencement speech urg… https://t.co/b0ZhxaFHlJ",47,CBSNews
147,-0.6705,Fri Jun 08 18:49:50 +0000 2018,0.22,0.78,0.0,Authorities are investigating the reported suicide of a Kansas woman who led a private investigator to the decompos… https://t.co/TapZCfxZeU,48,CBSNews
148,0.6846,Fri Jun 08 18:34:57 +0000 2018,0.08,0.651,0.269,"Whichever team wins the NBA championship, President Trump says he won't be inviting them to the White House:… https://t.co/kk5EWWDu3Q",49,CBSNews
149,0.0,Fri Jun 08 18:25:45 +0000 2018,0.0,1.0,0.0,"MOMENTS AGO: President Trump and other G7 leaders take ""family photo"" at summit in Quebec https://t.co/gPokHDkAxK https://t.co/2e6r5Sma2o",50,CBSNews
150,0.1531,Fri Jun 08 18:17:08 +0000 2018,0.106,0.758,0.136,NEW: Special counsel brings new charges against President Trump's campaign chairman Paul Manafort and a longtime as… https://t.co/JSoRyS0o2A,51,CBSNews
151,0.0,Fri Jun 08 18:05:10 +0000 2018,0.0,1.0,0.0,"Asia Argento, actress and girlfriend of late celebrity chef Anthony Bourdain, says she is ""beyond devastated""… https://t.co/E1PiOJQ0Ry",52,CBSNews
152,-0.7319,Fri Jun 08 17:49:35 +0000 2018,0.305,0.618,0.077,"If you or someone you know is struggling or in crisis, you are not alone. https://t.co/OzkLuk4t2k https://t.co/4sYSqGriXa",53,CBSNews
153,0.0,Fri Jun 08 17:34:47 +0000 2018,0.0,1.0,0.0,"Dennis Rodman says he will travel to Singapore ""for the historical summit"" between President Trump and North Korea'… https://t.co/E1bEYOh2Jp",54,CBSNews
154,-0.6597,Fri Jun 08 17:19:56 +0000 2018,0.262,0.738,0.0,A woman who was out walking her dogs is missing after an alligator reportedly attacked her and dragged her into a p… https://t.co/3sxKN8vacS,55,CBSNews
155,0.5859,Fri Jun 08 17:05:02 +0000 2018,0.0,0.758,0.242,"""We appreciate President Trump's sentiment, but a pardon is unnecessary,"" says the lawyer for late heavyweight boxi… https://t.co/ReUcxMpDnp",56,CBSNews
156,0.431,Fri Jun 08 16:54:37 +0000 2018,0.142,0.645,0.213,"The threats facing our oceans might seem like an overwhelming tsunami of problems, but there is still hope. Here ar… https://t.co/7jWEIjbMYX",57,CBSNews
157,-0.3182,Fri Jun 08 16:35:19 +0000 2018,0.141,0.859,0.0,"U.K. Foreign Secretary Boris Johnson talks Brexit ""meltdown,"" lauds President Trump in leaked audio… https://t.co/O0v2glyQZS",58,CBSNews
158,0.4588,Fri Jun 08 16:28:11 +0000 2018,0.0,0.85,0.15,WATCH: Canadian Prime Minister Justin Trudeau and his wife welcome President Trump to Quebec for G7 summit… https://t.co/JZeotyPsPZ,59,CBSNews
159,-0.1027,Fri Jun 08 16:19:00 +0000 2018,0.072,0.928,0.0,"RT @CBSSunday: THE RUNDOWN

A look at what the #CBSSundayMorning team is working hard on:

- @musiciansoncall 

- @MoRocca on Broadway's @R…",60,CBSNews
160,0.0,Fri Jun 08 16:14:38 +0000 2018,0.0,1.0,0.0,WATCH: President Trump has arrived in Quebec for the G7 summit; Trump was originally scheduled to meet with French… https://t.co/yauVzBFA9i,61,CBSNews
161,0.4215,Fri Jun 08 15:59:51 +0000 2018,0.0,0.882,0.118,"In a break from U.S. allies, Pres. Trump said he hopes to reinstate Russia into the current G7 (formerly known as t… https://t.co/v5kQD62k5v",62,CBSNews
162,-0.4257,Fri Jun 08 15:34:49 +0000 2018,0.128,0.872,0.0,Do you have to vote even if you don't want to? Not doing so could put you on the path to losing your vote in some s… https://t.co/7lrN6W7muE,63,CBSNews
163,-0.6486,Fri Jun 08 15:19:27 +0000 2018,0.325,0.675,0.0,Woman walking dog is missing after reported alligator attack in Florida https://t.co/P9ew6R6hqV https://t.co/Jtf81vLBfZ,64,CBSNews
164,0.0,Fri Jun 08 15:08:41 +0000 2018,0.0,1.0,0.0,WATCH: President Trump arrives in Quebec City for G7 summit; he'll take questions with French President Emmanuel Ma… https://t.co/wLEBiEenor,65,CBSNews
165,-0.5994,Fri Jun 08 14:55:19 +0000 2018,0.218,0.782,0.0,"Actors, politicians, journalists, scientists and others react to Anthony Bourdain's death: ""Without ever preaching,… https://t.co/OEQ73SIklE",66,CBSNews
166,0.0,Fri Jun 08 14:44:04 +0000 2018,0.0,1.0,0.0,"Anthony Bourdain, the TV celebrity and food writer who traveled the world in search of exotic dishes, was found dea… https://t.co/UcTN29SYUd",67,CBSNews
167,0.128,Fri Jun 08 14:24:49 +0000 2018,0.181,0.656,0.162,"""I've been sentenced to the best job in the world"": @AnthonyMasonCBS spoke to Anthony Bourdain, who died Friday at… https://t.co/Qvu6wiXn1p",68,CBSNews
168,0.1531,Fri Jun 08 14:05:29 +0000 2018,0.0,0.914,0.086,"Melania Trump wanted to join G7 summit trip but she can't fly for a month, President Trump says… https://t.co/h1cHZmdxRY",69,CBSNews
169,-0.0258,Fri Jun 08 13:50:52 +0000 2018,0.064,0.936,0.0,A chilling report reveals bartenders' actions before last year's massacre at a Texas home during a Dallas Cowboys g… https://t.co/NPjKni2lqK,70,CBSNews
170,0.7351,Fri Jun 08 13:33:58 +0000 2018,0.0,0.693,0.307,"President Trump says he may pardon another late heavyweight boxing champion — this time, Muhammad Ali:… https://t.co/nvzjUhhDUw",71,CBSNews
171,-0.4939,Fri Jun 08 13:18:14 +0000 2018,0.127,0.873,0.0,RT @CBSThisMorning: More than 600 homes have now been destroyed by the volcano on Hawaii's Big Island. The Kilauea volcano is still eruptin…,72,CBSNews
172,0.4215,Fri Jun 08 13:14:45 +0000 2018,0.0,0.887,0.113,"President Trump, on his way to the G-7 summit in Canada, said he hopes to reinstate Russia into the group. Russia w… https://t.co/W4p7APZEbV",73,CBSNews
173,-0.6705,Fri Jun 08 13:01:56 +0000 2018,0.184,0.816,0.0,"Suicide rates in the U.S. rose nearly 30% over the past two decades, according to a new study, and researchers say… https://t.co/9oo7aRk8dY",74,CBSNews
174,-0.6801,Fri Jun 08 12:49:38 +0000 2018,0.237,0.763,0.0,"EPA Administrator Scott Pruitt ""is being attacked very viciously by the press. I'm not saying that he is blameless… https://t.co/FFhcuVdUNA",75,CBSNews
175,0.1655,Fri Jun 08 12:48:24 +0000 2018,0.0,0.927,0.073,"“Yes, I do have an absolute right to pardon myself, but I will never have to do it becauseI didn't do anything wron… https://t.co/S4Eckyl6vQ",76,CBSNews
176,0.4019,Fri Jun 08 12:47:00 +0000 2018,0.0,0.847,0.153,"President Trump says he is considering pardoning Muhammad Ali: ""I'm thinking about that very seriously.""… https://t.co/FoU4J7ViLd",77,CBSNews
177,-0.1419,Fri Jun 08 12:43:25 +0000 2018,0.066,0.934,0.0,"""Why are we having a meeting without Russia? I would recommend, and it is up to them, but Russia should be in the m… https://t.co/m7n3z2rgMP",78,CBSNews
178,0.1531,Fri Jun 08 12:41:21 +0000 2018,0.16,0.574,0.266,"President Trump on death of Anthony Bourdain: ""I want to extend to his family my heartfelt condolences.""… https://t.co/l1KxnK9BPP",79,CBSNews
179,0.0,Fri Jun 08 12:39:30 +0000 2018,0.0,1.0,0.0,"“I said I've been preparing all my life. I always believe in preparation. But I have been preparing all my life,” P… https://t.co/BaDxZRs6p2",80,CBSNews
180,-0.4767,Fri Jun 08 12:36:50 +0000 2018,0.129,0.871,0.0,"""We are going to deal with the unfair trade practices. If you look what Canada, Mexico, the European Union, what al… https://t.co/lvjuEsj26h",81,CBSNews
181,0.0,Fri Jun 08 12:34:04 +0000 2018,0.0,1.0,0.0,MOMENTS AGO: President Trump speaks to reporters as he departs the White House for the G7 summit in Quebec… https://t.co/ZQBV6xMQ9Z,82,CBSNews
182,-0.6369,Fri Jun 08 12:29:04 +0000 2018,0.174,0.775,0.05,"RT @CBSThisMorning: ""You never know what's in somebody's head... A lot of times people who end up committing suicide, even when they're ask…",83,CBSNews
183,-0.1027,Fri Jun 08 12:21:50 +0000 2018,0.055,0.945,0.0,"RT @CBSThisMorning: ""I think when you travel as much as I have... I think you become aware of how other people live, how hard their lives a…",84,CBSNews
184,-0.6249,Fri Jun 08 12:11:06 +0000 2018,0.157,0.843,0.0,“I think it is a public health crisis. And I think what it means is that we need more resources. We need more resea… https://t.co/gnVbZjO13h,85,CBSNews
185,0.0,Fri Jun 08 12:06:34 +0000 2018,0.0,1.0,0.0,Anthony Bourdain told @AnthonyMasonCBS in 2016 that his later life changed him: https://t.co/eEcdi1IJsk https://t.co/aP3Gqhr7lK,86,CBSNews
186,-0.0829,Fri Jun 08 11:57:34 +0000 2018,0.182,0.649,0.169,"RT @CBSThisMorning: If you or somebody you know is struggling, you're not alone. Please call 1-800-273-TALK for help. @800273TALK is availa…",87,CBSNews
187,0.959,Fri Jun 08 11:47:21 +0000 2018,0.0,0.423,0.577,"Anthony Bourdain's ""love of great adventure, new friends, fine food and drink and the remarkable stories of the wor… https://t.co/ZD1mwUHe9z",88,CBSNews
188,-0.8442,Fri Jun 08 11:34:54 +0000 2018,0.323,0.677,0.0,"Anthony Bourdain, a celebrity chef and host of CNN's ""Parts Unknown,"" has died in an apparent suicide, the network… https://t.co/tyKepWV9nB",89,CBSNews
189,0.5267,Fri Jun 08 11:23:10 +0000 2018,0.0,0.848,0.152,"For the first time in their history, the NHL's Washington @Capitals are Stanley Cup champions. Fans couldn't hold b… https://t.co/Zw7oSX7hLC",90,CBSNews
190,0.0,Fri Jun 08 11:19:42 +0000 2018,0.0,1.0,0.0,"A New medical mystery affecting U.S. diplomatic workers, this time in China, is deepening. The U.S. embassy in Beij… https://t.co/6deY2iQWcg",91,CBSNews
191,-0.6705,Fri Jun 08 11:19:31 +0000 2018,0.209,0.791,0.0,A teen escorted from the U.S. by ICE in April has reportedly killed soon after in Mexico: https://t.co/Glz3eiw13i https://t.co/0lcsBoUbSs,92,CBSNews
192,0.0,Fri Jun 08 11:17:04 +0000 2018,0.0,1.0,0.0,An Arizona man who was shown being hit by police on surveillance and body camera footage is speaking out:… https://t.co/NeHOcLcmaZ,93,CBSNews
193,-0.3818,Fri Jun 08 11:14:47 +0000 2018,0.14,0.86,0.0,Prosecutors in Guatemala are investigating if the country's emergency response agency was negligent in the response… https://t.co/4rGY5KAiyv,94,CBSNews
194,-0.4939,Fri Jun 08 11:13:01 +0000 2018,0.167,0.833,0.0,More than 600 homes have now been destroyed by the volcano on Hawaii’s Big Island https://t.co/BjU8vKSwDF https://t.co/Qs9hJETe9K,95,CBSNews
195,-0.0258,Fri Jun 08 11:11:57 +0000 2018,0.199,0.605,0.196,"The Senate Intelligence Committee's former head of security is due in court today, accused of lying to the FBI abou… https://t.co/ZQNDHU1859",96,CBSNews
